GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ms-processamento,com.solinfbroker.msprocessamento.dtos,OrdemKafka,499,0,90,0,13,0,74,0,29,0
ms-processamento,com.solinfbroker.msprocessamento.dtos,OperacaoDTO,18,0,0,0,1,0,1,0,1,0
ms-processamento,com.solinfbroker.msprocessamento.dtos,OrdemDTO,21,0,0,0,1,0,1,0,1,0
ms-processamento,com.solinfbroker.msprocessamento,MsProcessamentoApplication,5,3,0,0,2,1,1,1,1,1
ms-processamento,com.solinfbroker.msprocessamento.model,Ordem,570,49,114,0,10,8,78,14,21,14
ms-processamento,com.solinfbroker.msprocessamento.model,enumStatus,0,27,0,0,0,5,0,1,0,1
ms-processamento,com.solinfbroker.msprocessamento.model,EmpresaModel,192,3,38,0,5,1,31,1,12,1
ms-processamento,com.solinfbroker.msprocessamento.model,AtivoModel,408,3,68,0,11,1,58,1,24,1
ms-processamento,com.solinfbroker.msprocessamento.model,ClienteModel,234,3,34,0,9,1,32,1,15,1
ms-processamento,com.solinfbroker.msprocessamento.model,CarteiraModel,296,19,62,0,8,1,45,5,14,5
ms-processamento,com.solinfbroker.msprocessamento.model,Operacao,360,27,72,0,10,2,52,7,16,7
ms-processamento,com.solinfbroker.msprocessamento.model,enumTipoOrdem,0,15,0,0,0,3,0,1,0,1
ms-processamento,com.solinfbroker.msprocessamento.config.kafka,KafkaProducerMessage,25,0,0,0,5,0,2,0,2,0
ms-processamento,com.solinfbroker.msprocessamento.config.kafka,KafkaConfiguration,95,0,0,0,18,0,5,0,5,0
ms-processamento,com.solinfbroker.msprocessamento.config.kafka,KafkaAdminConfig,60,0,0,0,9,0,3,0,3,0
ms-processamento,com.solinfbroker.msprocessamento.config.kafka,Topicos,3,0,0,0,1,0,1,0,1,0
ms-processamento,com.solinfbroker.msprocessamento.service,ProcessamentoService,58,575,14,42,10,104,14,20,0,6
ms-processamento,com.solinfbroker.msprocessamento.service,KafkaListener,39,0,6,0,9,0,5,0,2,0
